InspectionID,BusinessName,License,Address,City,State,Zip,Latitude,Longitude,DatePerformed,Result,ViolationID,ViolationText,ViolationComment
1490729,McDonald's (MCDONALD'S  (T1-C10)),2013208,"11601 W TOUHY AVE ",CHICAGO,IL,60666,42.0085364008687,-87.9144284392705,2014-07-18,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS",STORAGE SHELVES UNDER PREP COUNTER AND EXTERIOR OF COOKING EQUIPMENT NOT CLEAN. INSTRUCTED TO DETAIL CLEAN AND SANITIZE.
1491000,MCDONALD'S,1332927,"2438 W CERMAK RD ",CHICAGO,IL,60608,41.8521245314486,-87.6872821649016,2014-07-28,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS",CORRECTED.
1493507,MCDONALD'S (MCDONALD'S (T5/ARRIVAL)),2016729,"11601 W TOUHY AVE ",CHICAGO,IL,60666,42.0085364008687,-87.9144284392705,2014-08-12,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS",STORAGE SHELVES UNDER EQUIPMENT NOT CLEAN. INSTRUCTED TO DETAIL CLEAN AND SANITIZE ALL FOOD CONTACT SURAFCES.
1493555,MCDONALD'S RESTAURANT (MCDONALD'S RESTAURANT  (T3 H9)),51206,"11601 W TOUHY AVE ",CHICAGO,IL,60666,42.0085364008687,-87.9144284392705,2014-08-13,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS",STORAGE SHELVES AND ALONG SIDE OF COOKING EQUIPMENT NOT CLEAN. INSTRUCTED TO DETAIL CLEAN AND SANITIZE.
1493876,MCDONALD'S (MCDONALD'S   (T3- L4)),2016727,"11601 W TOUHY AVE ",CHICAGO,IL,60666,42.0085364008687,-87.9144284392705,2014-08-21,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS","INTERIOR ICE MACHINE , STORAGE SHELVES AND CABINETS NOT CLEAN. INSTRUCTED TO DETAIL CLEAN AND SANITIZE."
1493926,MCDONALD'S,2328103,"600 N CLARK ST ",CHICAGO,IL,60654,41.8924640329927,-87.631294885907,2014-08-22,Pass w/ Conditions,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS",CORRECTED
1494050,MCDONALD'S CORPORATION (MCDONALD'S  (T3 HK FOOD COURT)),1140128,"11601 W TOUHY AVE ",CHICAGO,IL,60666,42.0085364008687,-87.9144284392705,2014-08-26,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS",SHELVES UNDER PREP COUNTER NOT CLEAN. INSTRUCTED TO DETAIL CLEAN DAILY AND SANITIZE ALL FOOD CONTACT SURFACES.
1496453,MCDONALD'S #11290,33144,"7601 S CICERO AVE ",CHICAGO,IL,60652,41.7546601243937,-87.7413847586052,2014-09-08,Pass w/ Conditions,2,FACILITIES TO MAINTAIN PROPER TEMPERATURE,FOUND THE PREP REACH IN COOLER NOT ABLE TO MAINTAIN THE REQUIRED TEMPERATURE (40F OR LOWER). INSTRUCTED TO HAVE UNIT SERVICED SO THAT IT MAINTAINS THE PROPER TEMPERATURE. CRITICAL VIOLATION 7-38-005 (A)
1496453,MCDONALD'S #11290,33144,"7601 S CICERO AVE ",CHICAGO,IL,60652,41.7546601243937,-87.7413847586052,2014-09-08,Pass w/ Conditions,3,"POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE","FOUND POTENTIALLY HAZARDOUS FOODS STORED IN THE ABOVE COOLER AT IMPROPER TEMPERATURES. LIQUID EGGS (50.6F), EGG FOLD (53.1F), RAW EGGS (51.5F), CANADIAN HAM (52.5F), TARTAR SAUCE (53.4F), MAYONNAISE SAUCE (52.4F), COOKED ONIONS (56.4F) AND BURRITO MIX (51.1F). INSTRUCTED TO KEEP COLD FOODS AT 40F OR LOWER. CRITICAL VIOLATION 7-38-005(A)"
1496453,MCDONALD'S #11290,33144,"7601 S CICERO AVE ",CHICAGO,IL,60652,41.7546601243937,-87.7413847586052,2014-09-08,Pass w/ Conditions,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS",FOUND THE INTERIOR OF THE COOKING EQUIPMENT AND THE STORAGE RACKS INSIDE THE COOLERS IN NEED OF CLEANING. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN ALL.
1496646,MCDONALD'S #4305 (MCDONALD'S),1922105,"4844 N LINCOLN AVE ",CHICAGO,IL,60625,41.9697537205744,-87.6894034367043,2014-09-12,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS",VIOLATION #33 NOW CORRECTED.
1497247,MCDONALD'S #6491 (MCDONALD'S),2009449,"36 W RANDOLPH ST ",CHICAGO,IL,60601,41.8845908469767,-87.6292360117108,2014-09-29,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS","DUST BUILD UP AT WALK-IN COOLER INSULATION LINES, INSTRUCTED TO CLEAN AND MAINTAIN."
